contractObject,ticker,secShortName,turnoverRate,contractValue,comission,close_today,min_vol,total_fee,fee_rate
SC,sc2402,中质含硫原油2402,5.53242,566160.74412,20.01000,0.00000,9637.78360,20.01000,0.00004
NI,ni2401,沪镍2401,3.16660,130934.99438,3.01000,3.01000,1055.10450,6.02000,0.00005
FU,fu2403,沪燃油2403,2.86309,30710.47301,1.55000,0.00000,305.60161,1.55000,0.00005
SP,sp2405,沪纸浆2405,2.24231,57275.52231,0.00000,0.00000,537.86296,0.00000,0.00000
AG,ag2402,沪白银2402,1.69727,89773.53019,0.91000,0.91000,1203.31317,1.82000,0.00002
P,p2405,连棕油2405,1.60097,72756.51625,2.51000,2.51000,460.52970,5.02000,0.00007
B,b2402,连豆二2402,1.59058,44294.85722,2.01000,2.01000,330.19979,4.02000,0.00009
RU,ru2405,沪天胶2405,1.56552,137586.10422,3.01000,0.00000,680.00647,3.01000,0.00002
ZN,zn2402,沪锌2402,1.35588,104687.76926,3.01000,0.00000,776.26988,3.01000,0.00003
TA,TA405,郑PTA405,1.06048,28771.14480,3.01000,0.00000,328.91116,3.01000,0.00010
RB,rb2405,沪螺钢2405,1.04805,39575.98894,3.97000,3.97000,466.52660,7.94000,0.00020
Y,y2405,连豆油2405,1.02583,80319.70082,2.51000,2.51000,585.75696,5.02000,0.00006
SR,SR405,郑白糖405,0.94240,65982.38013,3.01000,0.00000,329.31097,3.01000,0.00005
AL,al2401,沪铝2401,0.86687,93256.63569,3.01000,3.01000,767.50474,6.02000,0.00006
AU,au2402,沪黄金2402,0.79676,472055.87618,2.01000,0.00000,2738.28558,2.01000,0.00000
BU,bu2403,沪石油沥青2403,0.72855,36311.61165,3.64000,3.64000,175.00270,7.28000,0.00020
M,m2405,连豆粕2405,0.66635,36938.62139,1.51000,1.51000,189.34686,3.02000,0.00008
CF,CF405,郑棉花405,0.60506,76275.34738,4.31000,0.00000,206.31684,4.31000,0.00006
I,i2405,连铁矿石2405,0.48955,96232.89157,9.63000,9.63000,808.65195,19.26000,0.00020
C,c2405,连玉米2405,0.45704,25065.96546,1.21000,1.21000,172.06856,2.42000,0.00010
CU,cu2401,沪铜2401,0.42234,340231.45849,17.02000,34.03000,1694.81825,51.05000,0.00015
RM,RM403,郑菜籽粕403,0.35976,28619.91898,1.51000,1.51000,195.31277,3.02000,0.00011
