idx,instrument_id,trans_type,last_price,fill_price,fill_lot,pos,fee,open_time,close_time,holding_time,curr_return,trade_date
4029,al2103,short_open,14945.0,14945.0,3,14945.0,9.03,09:45:00.000,09:45:00.000,0.0,0.0,2021-02-03
4265,al2103,short_close,14965.0,14970.0,3,14945.0,9.03,09:45:00.000,2021-02-03 09:47:30.000,150.0,-384.03,2021-02-03
19770,al2103,short_open,14985.0,14980.0,3,14980.0,9.03,21:28:00.000,21:28:00.000,0.0,0.0,2021-02-03
20340,al2103,short_close,15000.0,15000.0,3,14980.0,9.03,21:28:00.000,2021-02-02 21:35:30.500,450.0,-309.03000000000003,2021-02-03
26239,al2103,short_open,15070.0,15065.0,3,15065.0,9.03,22:19:00.000,22:19:00.000,0.0,0.0,2021-02-04
26622,al2103,short_close,15090.0,15087.5,3,15065.0,9.03,22:19:00.000,2021-02-03 22:24:30.000,330.0,-346.53000000000003,2021-02-04
7145,al2103,long_open,15460.0,15460.0,3,15460.0,9.03,10:13:00.000,10:13:00.000,0.0,0.0,2021-02-05
7368,al2103,long_close,15425.0,15420.0,3,15460.0,9.03,10:13:00.000,10:30:30.000,1050.0,-609.03,2021-02-05
27170,al2103,long_open,15445.0,15450.0,3,15450.0,9.03,22:24:00.000,22:24:00.000,0.0,0.0,2021-02-05
27257,al2103,long_close,15465.0,15460.0,3,15450.0,9.03,22:24:00.000,22:26:00.000,120.0,140.97,2021-02-05
3351,al2103,short_open,15610.0,15610.0,3,15610.0,9.03,09:31:00.000,09:31:00.000,0.0,0.0,2021-02-08
3511,al2103,short_close,15635.0,15635.0,3,15610.0,9.03,09:31:00.000,2021-02-08 09:32:30.000,90.0,-384.03,2021-02-08
18463,al2103,long_open,15910.0,15910.0,3,15910.0,9.03,21:17:00.000,21:17:00.000,0.0,0.0,2021-02-10
18557,al2103,long_close,15880.0,15882.5,3,15910.0,9.03,21:17:00.000,21:18:00.000,60.0,-421.53,2021-02-10
23015,al2103,short_open,15890.0,15890.0,3,15890.0,9.03,22:30:00.000,22:30:00.000,0.0,0.0,2021-02-10
23448,al2103,short_close,15865.0,15870.0,3,15890.0,9.03,22:30:00.000,2021-02-09 22:38:00.000,480.0,290.96999999999997,2021-02-10
11178,al2104,long_open,16340.0,16340.0,3,16340.0,9.03,11:25:00.000,11:25:00.000,0.0,0.0,2021-02-18
11488,al2104,long_close,16380.0,16370.0,3,16340.0,9.03,11:25:00.000,13:30:30.000,7530.0,440.97,2021-02-18
13958,al2104,short_open,16390.0,16385.0,3,16385.0,9.03,14:09:00.000,14:09:00.000,0.0,0.0,2021-02-18
14274,al2104,short_close,16410.0,16415.0,3,16385.0,9.03,14:09:00.000,2021-02-18 14:13:30.000,270.0,-459.03,2021-02-18
9371,al2104,short_open,16420.0,16420.0,2,16420.0,6.02,10:51:00.000,10:51:00.000,0.0,0.0,2021-02-19
11224,al2104,short_close,16445.0,16445.0,2,16420.0,6.02,10:51:00.000,2021-02-19 11:19:00.000,1680.0,-256.02,2021-02-19
32799,al2104,long_open,16580.0,16580.0,2,16580.0,6.02,22:52:00.000,22:52:00.000,0.0,0.0,2021-02-22
33397,al2104,long_close,16575.0,16574.0,2,16580.0,6.02,2021-02-19 22:52:00.000,2021-02-19 23:00:00.000,480.0,-66.02,2021-02-22
15743,al2104,short_open,16745.0,16745.0,2,16745.0,6.02,14:01:00.000,14:01:00.000,0.0,0.0,2021-02-23
16995,al2104,short_close,16725.0,16725.0,2,16745.0,6.02,14:01:00.000,2021-02-23 14:15:00.000,840.0,193.98,2021-02-23
16428,al2104,short_open,17525.0,17520.0,2,17520.0,6.02,13:37:00.000,13:37:00.000,0.0,0.0,2021-02-25
16829,al2104,short_close,17545.0,17545.0,2,17520.0,6.02,13:37:00.000,2021-02-25 13:40:30.000,210.0,-256.02,2021-02-25
