trade_date,product_id,instrument_id,total_return_final,total_return_unclose,total_fee,unclosed_value,precision,long_open,short_open,correct_long_open,wrong_long_open,correct_short_open,wrong_short_open,average_holding_time,max_holding_time,min_holding_time
2021-07-08,eg,eg2109,-280.0,-280.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,150.0,150.0,150.0
2021-07-09,eg,eg2109,200.0,200.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,801.0,801.0,801.0
2021-07-12,eg,eg2109,-40.0,-40.0,100.0,0.0,0.6,5.0,0.0,3.0,2.0,0.0,0.0,2475.0,7762.0,305.0
2021-07-13,eg,eg2109,80.0,80.0,60.0,0.0,0.6666666666666666,3.0,0.0,2.0,1.0,0.0,0.0,861.3333333333334,1527.0,75.0
2021-07-14,eg,eg2109,-820.0,-820.0,200.0,0.0,0.4,9.0,1.0,4.0,5.0,0.0,1.0,420.8,1175.0,20.0
2021-07-15,eg,eg2109,180.0,300.0,220.0,10434.0,0.5454545454545454,1.0,10.0,0.0,1.0,6.0,4.0,518.6363636363636,1791.0,10.0
2021-07-08,eg,eg2109,-440.0,-440.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1060.0,1060.0,1060.0
2021-07-09,eg,eg2109,440.0,440.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1081.0,1081.0,1081.0
2021-07-12,eg,eg2109,-20.0,-20.0,40.0,0.0,0.5,2.0,0.0,1.0,1.0,0.0,0.0,7693.5,14318.0,1069.0
2021-07-13,eg,eg2109,-100.0,-100.0,40.0,0.0,0.5,2.0,0.0,1.0,1.0,0.0,0.0,6234.5,11317.0,1152.0
2021-07-14,eg,eg2109,-1560.0,-1560.0,140.0,0.0,0.2857142857142857,6.0,1.0,2.0,4.0,0.0,1.0,2239.428571428572,9052.0,166.0
2021-07-15,eg,eg2109,-540.0,-420.0,100.0,10434.0,0.4,1.0,4.0,0.0,1.0,2.0,2.0,3741.0,13799.0,60.0
