idx,instrument_id,direction,last_price,filled_price,filled_vol,open_price,fee,open_ts,close_ts,holding_time,return,trade_date,open_cost,return_ratio,return_cut
21583,eg2109,10,4966.0,4966.0,2.0,4966.0,10.0,10:45:20.467,10:45:20.467,0.0,0.0,2021-07-08,9932.0,0.0,"(-118.139, 68.261]"
23171,eg2109,11,4987.0,4987.0,2.0,4966.0,10.0,10:45:20.467,2021-07-08 11:03:00.295,1060.0,-440.0,2021-07-08,9932.0,-443.0124848973017,"(-491.869, -304.538]"
29313,eg2109,00,4988.0,4988.0,2.0,4988.0,10.0,14:24:49.738,14:24:49.738,0.0,0.0,2021-07-09,9976.0,0.0,"(-118.139, 68.261]"
31093,eg2109,01,5011.0,5011.0,2.0,4988.0,10.0,14:24:49.738,14:42:50.457,1081.0,440.0,2021-07-09,9976.0,441.05854049719323,"(254.66, 441.059]"
1675,eg2109,00,5055.0,5055.0,2.0,5055.0,10.0,21:14:01.046,21:14:01.046,0.0,0.0,2021-07-12,10110.0,0.0,"(-118.139, 68.261]"
3755,eg2109,01,5078.0,5077.0,2.0,5055.0,10.0,21:14:01.046,21:31:50.493,1069.0,420.0,2021-07-12,10110.0,415.4302670623145,"(254.66, 441.059]"
22307,eg2109,00,5054.0,5055.0,2.0,5055.0,10.0,10:45:12.364,10:45:12.364,0.0,0.0,2021-07-12,10110.0,0.0,"(-118.139, 68.261]"
33521,eg2109,01,5034.0,5034.0,2.0,5055.0,10.0,10:45:12.364,14:43:50.929,14318.0,-440.0,2021-07-12,10110.0,-435.2126607319486,"(-491.869, -304.538]"
16461,eg2109,00,5074.0,5074.0,2.0,5074.0,10.0,09:50:48.751,09:50:48.751,0.0,0.0,2021-07-13,10148.0,0.0,"(-118.139, 68.261]"
18491,eg2109,01,5052.0,5051.0,2.0,5074.0,10.0,09:50:48.751,10:10:00.775,1152.0,-480.0,2021-07-13,10148.0,-472.99960583366186,"(-491.869, -304.538]"
20119,eg2109,00,5074.0,5074.0,2.0,5074.0,10.0,10:41:23.629,10:41:23.629,0.0,0.0,2021-07-13,10148.0,0.0,"(-118.139, 68.261]"
26679,eg2109,01,5095.0,5094.0,2.0,5074.0,10.0,10:41:23.629,13:50:00.767,11317.0,380.0,2021-07-13,10148.0,374.45802128498224,"(254.66, 441.059]"
685,eg2109,00,5176.0,5177.0,2.0,5177.0,10.0,21:05:42.112,21:05:42.112,0.0,0.0,2021-07-14,10354.0,0.0,"(-118.139, 68.261]"
1313,eg2109,01,5154.0,5154.0,2.0,5177.0,10.0,21:05:42.112,21:11:00.722,318.0,-480.0,2021-07-14,10354.0,-463.58895112999807,"(-491.869, -304.538]"
1837,eg2109,10,5149.0,5148.0,2.0,5148.0,10.0,21:15:24.711,21:15:24.711,0.0,0.0,2021-07-14,10296.0,0.0,"(-118.139, 68.261]"
2161,eg2109,11,5172.0,5172.0,2.0,5148.0,10.0,21:15:24.711,2021-07-13 21:18:10.231,166.0,-500.0,2021-07-14,10296.0,-485.6254856254856,"(-491.869, -304.538]"
2211,eg2109,00,5173.0,5173.0,2.0,5173.0,10.0,21:18:35.079,21:18:35.079,0.0,0.0,2021-07-14,10346.0,0.0,"(-118.139, 68.261]"
4963,eg2109,01,5194.0,5193.0,2.0,5173.0,10.0,21:18:35.079,21:43:10.168,1475.0,380.0,2021-07-14,10346.0,367.2917069398801,"(254.66, 441.059]"
6637,eg2109,00,5176.0,5176.0,2.0,5176.0,10.0,21:59:15.157,21:59:15.157,0.0,0.0,2021-07-14,10352.0,0.0,"(-118.139, 68.261]"
8277,eg2109,01,5155.0,5155.0,2.0,5176.0,10.0,21:59:15.157,22:14:50.106,935.0,-440.0,2021-07-14,10352.0,-425.0386398763524,"(-491.869, -304.538]"
12645,eg2109,00,5184.0,5184.0,2.0,5184.0,10.0,09:00:00.250,09:00:00.250,0.0,0.0,2021-07-14,10368.0,0.0,"(-118.139, 68.261]"
15437,eg2109,01,5163.0,5162.0,2.0,5184.0,10.0,09:00:00.250,09:26:00.747,1560.0,-460.0,2021-07-14,10368.0,-443.67283950617286,"(-491.869, -304.538]"
16345,eg2109,00,5176.0,5176.0,2.0,5176.0,10.0,09:35:00.719,09:35:00.719,0.0,0.0,2021-07-14,10352.0,0.0,"(-118.139, 68.261]"
19831,eg2109,01,5155.0,5155.0,2.0,5176.0,10.0,09:35:00.719,10:11:10.026,2170.0,-440.0,2021-07-14,10352.0,-425.0386398763524,"(-491.869, -304.538]"
24445,eg2109,00,5176.0,5176.0,2.0,5176.0,10.0,11:16:58.244,11:16:58.244,0.0,0.0,2021-07-14,10352.0,0.0,"(-118.139, 68.261]"
27445,eg2109,01,5197.0,5196.0,2.0,5176.0,10.0,11:16:58.244,13:47:50.583,9052.0,380.0,2021-07-14,10352.0,367.0788253477589,"(254.66, 441.059]"
917,eg2109,00,5296.0,5296.0,2.0,5296.0,10.0,21:07:40.726,21:07:40.726,0.0,0.0,2021-07-15,10592.0,0.0,"(-118.139, 68.261]"
2833,eg2109,01,5272.0,5271.0,2.0,5296.0,10.0,21:07:40.726,21:24:00.741,980.0,-520.0,2021-07-15,10592.0,-490.9365558912387,"(-491.869, -304.538]"
2939,eg2109,10,5258.0,5257.0,2.0,5257.0,10.0,21:24:53.737,21:24:53.737,0.0,0.0,2021-07-15,10514.0,0.0,"(-118.139, 68.261]"
5489,eg2109,11,5252.0,5253.0,2.0,5257.0,10.0,21:24:53.737,2021-07-14 21:47:40.769,1367.0,60.0,2021-07-15,10514.0,57.06676811869888,"(-118.139, 68.261]"
12511,eg2109,10,5201.0,5200.0,2.0,5200.0,10.0,09:00:00.260,09:00:00.260,0.0,0.0,2021-07-15,10400.0,0.0,"(-118.139, 68.261]"
12631,eg2109,11,5179.0,5179.0,2.0,5200.0,10.0,09:00:00.260,2021-07-15 09:01:00.231,60.0,400.0,2021-07-15,10400.0,384.61538461538464,"(254.66, 441.059]"
18503,eg2109,10,5217.0,5216.0,2.0,5216.0,10.0,09:54:01.737,09:54:01.737,0.0,0.0,2021-07-15,10432.0,0.0,"(-118.139, 68.261]"
27839,eg2109,11,5233.0,5233.0,2.0,5216.0,10.0,09:54:01.737,2021-07-15 13:44:00.144,13799.0,-360.0,2021-07-15,10432.0,-345.09202453987734,"(-491.869, -304.538]"
30759,eg2109,10,5217.0,5217.0,2.0,5217.0,10.0,14:13:20.709,14:13:20.709,0.0,0.0,2021-07-15,10434.0,0.0,"(-118.139, 68.261]"
35461,eg2109,11,5221.0,5222.0,2.0,5217.0,10.0,2021-07-15 14:13:20.709,2021-07-15 14:54:59.973,2499.0,-120.0,2021-07-15,10434.0,-115.00862564692352,"(-118.139, 68.261]"
